Date,Promoter,Public
2026-03-31,63.69,36.31
2025-12-31,63.69,36.31
2025-09-30,63.69,36.31
2025-06-30,63.69,36.31
2025-03-31,63.69,36.31
2024-12-31,63.69,36.31
2024-09-30,63.69,36.31
2024-06-30,63.69,36.31
2024-03-31,63.69,36.31
2023-12-31,63.69,36.31
2023-09-30,63.69,36.31
2023-06-30,63.69,36.31
2023-03-31,63.69,36.31
2022-12-31,63.69,36.31
2022-09-30,63.69,36.31
2022-06-30,63.69,36.32
2022-03-31,63.4,36.6
2021-12-31,63.4,36.6
2021-09-30,63.4,36.59
2021-06-30,63.4,36.6
2021-03-31,63.4,36.6
2020-12-31,62.95,37.05
2020-09-30,62.95,37.04
2020-03-31,62.95,37.06
